IDs         length   Exptl.  resolution  R-factor FreeRvalue
2C60A       111      XRAY        1.250    0.17    0.18
5HB7A       125      XRAY        0.820    0.12    0.13
4QJVA       259      XRAY        1.600    0.18    0.21
4D7JA       363      XRAY        1.550    0.17    0.20
4Y9WA       334      XRAY        0.830    0.12    0.12
3H9CA       547      XRAY        1.400    0.17    0.19
4F01A       241      XRAY        1.400    0.16    0.21
3NBCA       148      XRAY        1.010    0.16    0.17
4I4OA       146      XRAY        1.120    0.15    0.16
4HHRA       652      XRAY        1.510    0.15    0.18
1WT6A        81      XRAY        1.600    0.23    0.27
4A3ZA       161      XRAY        1.550    0.13    0.17
5JICA       273      XRAY        1.400    0.14    0.17
1M15A       357      XRAY        1.200    0.12    0.14
3VZ9D        73      XRAY        1.030    0.19    0.21
4P3HA       193      XRAY        1.450    0.17    0.20
2HHCA       330      XRAY        1.540    0.18    0.20
4PP4A       276      XRAY        1.450    0.17    0.18
4MNOA       115      XRAY        1.350    0.16    0.19
2PVBA       108      XRAY        0.910    0.11    0.13
2FBAA       492      XRAY        1.100    0.15    0.16
2HLYA       207      XRAY        1.600    0.17    0.21
5BY5A       146      XRAY        1.200    0.12    0.15
4BPSA       344      XRAY        1.080    0.13    0.15
5COFA       173      XRAY        1.350    0.12    0.14
3F9XA       166      XRAY        1.250    0.18    0.21
4ZURA       341      XRAY        1.130    0.12    0.14
2FOMA        62      XRAY        1.500    0.18    0.21
1WNAA       131      XRAY        1.580    0.21    0.23
5U4QA       337      XRAY        1.500    0.18    0.21
1V7ZA       260      XRAY        1.600    0.18    0.20
5B5IA        74      XRAY        1.600    0.19    0.21
4C2VC        44      XRAY        1.490    0.17    0.20
5CEGA        93      XRAY        1.590    0.17    0.20
4IGIA       203      XRAY        1.200    0.12    0.15
3BMZA       199      XRAY        1.210    0.17    0.20
3ZJAA       140      XRAY        1.480    0.19    0.23
5SVYA        50      XRAY        1.050    0.12    0.15
4EFPA       239      XRAY        1.330    0.18    0.23
2FCWB        80      XRAY        1.260    0.15    0.20
3OXPA       150      XRAY        1.200    0.15    0.18
4P3VA        90      XRAY        1.250    0.16    0.17
4KU0A        96      XRAY        1.150    0.14    0.17
3CLMA       352      XRAY        1.140    0.13    0.16
4YG0A       164      XRAY        1.280    0.17    0.20
3EO6A       106      XRAY        0.970    0.12    0.14
4YYCA       525      XRAY        1.560    0.14    0.17
1M55A       197      XRAY        1.400    0.18    0.20
2Z5WA       136      XRAY        1.350    0.17    0.19
4REOA       229      XRAY        1.350    0.17    0.21
5C6SA       130      XRAY        1.300    0.19    0.22
5DLOA       133      XRAY        1.400    0.13    0.16
2GKPA       167      XRAY        1.350    0.15    0.21
3BONA       425      XRAY        1.200    0.13    0.16
5LXEA       335      XRAY        1.470    0.16    0.18
4CJ0A       625      XRAY        1.100    0.11    0.12
2O9SA        67      XRAY        0.830    0.10    0.12
4UJ7A       219      XRAY        1.540    0.19    0.22
1T92A       116      XRAY        1.600    0.17    0.20
3IE4A       107      XRAY        1.450    0.19    0.20
3SXMA       140      XRAY        1.550    0.17    0.19
2XJPA       258      XRAY        0.950    0.11    0.12
3RKGA       261      XRAY        1.280    0.17    0.20
3URKA       324      XRAY        1.500    0.16    0.21
1NKDA        65      XRAY        1.090    0.10    0.13
1S0PA       176      XRAY        1.400    0.27    0.21
2EABA       899      XRAY        1.120    0.18    0.19
5HB6A       144      XRAY        1.300    0.15    0.17
3ND1A       275      XRAY        1.500    0.20    0.22
3QZXA       195      XRAY        1.300    0.13    0.16
4NPDA        58      XRAY        0.900    0.11    0.13
4OQ9A       159      XRAY        1.450    0.22    0.25
5LJMA       215      XRAY        1.450    0.18    0.23
3L32A        45      XRAY        1.500    0.20    0.23
4P9LA       177      XRAY        1.440    0.15    0.18
2BF6A       449      XRAY        0.970    0.11    0.13
2E3NA       255      XRAY        1.400    0.22    0.23
5FEWA       358      XRAY        1.170    0.11    0.13
4WJTA       167      XRAY        1.210    0.11    0.14
4V1KA       138      XRAY        1.600    0.12    0.15
4ZV5A        91      XRAY        1.570    0.23    0.26
2WNFA       298      XRAY        1.250    0.18    0.20
3QHBA       179      XRAY        1.200    0.10    0.12
2Q3TA       157      XRAY        1.600    0.14    0.17
5TZ5A       296      XRAY        1.430    0.19    0.21
4ZOTA       168      XRAY        1.400    0.12    0.17
4H6QA       312      XRAY        1.360    0.15    0.18
3GIUA       215      XRAY        1.250    0.12    0.15
1WN2A       121      XRAY        1.200    0.19    0.21
3N6YA       137      XRAY        1.500    0.18    0.21
4YTWA        81      XRAY        1.400    0.22    0.24
1L2PA        61      XRAY        1.550    0.28    0.31
3POJA       115      XRAY        1.450    0.13    0.15
3ZR8X        65      XRAY        0.900    0.13    0.15
3HLXA       258      XRAY        1.300    0.17    0.20
1OH0A       131      XRAY        1.100    0.22    0.22
1K5NA       276      XRAY        1.090    0.12    0.15
5CQ2A        90      XRAY        1.400    0.15    0.18
3TVTB        50      XRAY        1.600    0.22    0.24
4DYQA       140      XRAY        1.500    0.18    0.20
3POWA       265      XRAY        1.550    0.18    0.19
1IRQA        71      XRAY        1.500    0.21    0.23
4A6QA       143      XRAY        1.500    0.19    0.21
4I6XA       131      XRAY        1.500    0.19    0.24
1Y9LA       115      XRAY        1.500    0.22    0.25
1SX5A       244      XRAY        1.500    0.21    0.25
4EU9A       514      XRAY        1.480    0.16    0.18
1GXUA        91      XRAY        1.270    0.13    0.16
3AWUA       281      XRAY        1.160    0.14    0.17
4NBPA       132      XRAY        1.310    0.15    0.18
5E68A       179      XRAY        1.580    0.16    0.20
3GMGA       170      XRAY        1.500    0.18    0.21
1NZ0A       118      XRAY        1.200    0.16    0.22
4JM1A        84      XRAY        1.400    0.13    0.17
5D4VA       268      XRAY        1.600    0.17    0.21
4LDVA       362      XRAY        1.450    0.21    0.24
5B0GA       104      XRAY        1.400    0.18    0.20
2D8DA        90      XRAY        1.150    0.21    0.22
3ULTA       133      XRAY        1.400    0.17    0.19
1OAIA        59      XRAY        1.000    0.15    0.16
4XZFA       122      XRAY        1.380    0.17    0.21
4AC7A       100      XRAY        1.500    0.12    0.15
4I8HA       223      XRAY        0.750    0.10    0.11
3T0HA       228      XRAY        1.200    0.15    0.17
5KKOA        55      XRAY        1.550    0.17    0.21
5A0NA       220      XRAY        1.300    0.12    0.15
5IQNA       132      XRAY        1.000    0.12    0.15
1YB3A       175      XRAY        1.600    0.20    0.23
2GLZA       153      XRAY        1.450    0.17    0.20
3NGGA        50      XRAY        1.330    0.18    0.21
4JGIA       211      XRAY        1.500    0.15    0.19
5FBFA       267      XRAY        1.040    0.11    0.14
5EIPA       134      XRAY        1.490    0.20    0.23
3MCWA       198      XRAY        1.060    0.13    0.15
4LJOA       223      XRAY        1.560    0.18    0.21
2VZCA       131      XRAY        1.050    0.14    0.16
4GWBA       168      XRAY        1.200    0.16    0.18
4HFSA       212      XRAY        1.550    0.19    0.22
4ZV0A       163      XRAY        1.400    0.15    0.16
2P5KA        64      XRAY        1.000    0.14    0.16
2X46A       144      XRAY        1.000    0.14    0.16
3LD7A       101      XRAY        1.550    0.17    0.19
2F01A       127      XRAY        0.850    0.15    0.17
4YECA       126      XRAY        1.120    0.16    0.19
3S44A       399      XRAY        1.450    0.19    0.21
3QU3A       137      XRAY        1.300    0.17    0.20
4XFMA       464      XRAY        1.550    0.17    0.19
5TKWA       237      XRAY        1.350    0.15    0.18
3F1LA       252      XRAY        0.950    0.17    0.19
4P5NA        77      XRAY        1.490    0.14    0.18
4O0AA       123      XRAY        1.200    0.16    0.18
4MLVA       312      XRAY        1.460    0.14    0.19
3SJMA        64      XRAY        1.350    0.17    0.21
4LUPA       106      XRAY        1.200    0.15    0.17
3U9JA       160      XRAY        1.600    0.17    0.22
2NRRA       159      XRAY        1.200    0.18    0.22
4KU0D        96      XRAY        1.150    0.14    0.17
1VQSA       116      XRAY        1.500    0.15    0.18
5EL9A       205      XRAY        1.100    0.12    0.13
1W4SA       174      XRAY        1.550    0.20    0.23
4OD6A        90      XRAY        1.200    0.18    0.21
3NJ2A       174      XRAY        1.590    0.21    0.26
3L9AX        88      XRAY        1.300    0.14    0.15
5ELBA       103      XRAY        1.080    0.12    0.15
2ENDA       138      XRAY        1.450    0.16    1.00
3ZN4A       173      XRAY        1.260    0.16    0.18
2NXVA       249      XRAY        1.100    0.14    0.15
3TG7A       951      XRAY        1.570    0.19    0.22
5B7EA       526      XRAY        1.420    0.16    0.18
3B0FA        53      XRAY        1.400    0.17    0.20
5EMIA       180      XRAY        1.120    0.14    0.15
3IV4A       112      XRAY        1.500    0.15    0.19
5I34A       441      XRAY        1.530    0.14    0.19
4R5RA        68      XRAY        0.960    0.15    0.17
4X9ZA        50      XRAY        1.500    0.18    0.22
5B1AF        98      XRAY        1.500    0.15    0.17
4PS6A       130      XRAY        1.250    0.12    0.16
4BOQA       183      XRAY        1.470    0.17    0.20
3LHNA       126      XRAY        1.420    0.17    0.18
5HOBA        50      XRAY        1.220    0.19    0.21
4DRIB        98      XRAY        1.450    0.18    0.21
3CH0A       272      XRAY        1.500    0.16    0.19
4Q8WA       388      XRAY        1.140    0.14    0.15
5U4HA       421      XRAY        1.050    0.16    0.18
3S6EA       114      XRAY        0.950    0.12    0.13
2CXAA       256      XRAY        1.600    0.19    0.22
2GZ4A       207      XRAY        1.500    0.15    0.18
3A8GB       212      XRAY        1.110    0.14    0.17
4A7UA       153      XRAY        0.980    0.14    0.15
5KDSA       530      XRAY        1.600    0.16    0.18
4BT7A       257      XRAY        1.100    0.17    0.18
1T1UA       639      XRAY        1.550    0.17    0.23
1JEKA        42      XRAY        1.500    0.21    0.27
4EICA        93      XRAY        0.840    0.11    0.13
2E4TA       519      XRAY        0.960    0.13    0.15
5B1AM        46      XRAY        1.500    0.15    0.17
5E9PA        86      XRAY        1.200    0.11    0.12
4CUAA       183      XRAY        1.540    0.16    0.19
4V1GA        86      XRAY        1.550    0.16    0.18
1EZGA        84      XRAY        1.400    0.16    0.20
4QY7A        93      XRAY        1.550    0.19    0.22
4W8HA       129      XRAY        1.140    0.14    0.17
5F30A       548      XRAY        1.450    0.14    0.17
2O9UX        97      XRAY        1.150    0.20    0.17
1EU1A       780      XRAY        1.300    0.12    0.14
1RFYA       102      XRAY        1.600    0.20    0.22
3AIAA       211      XRAY        1.400    0.19    0.22
3OM0A       393      XRAY        1.400    0.18    0.20
5MN4A       305      XRAY        1.500    0.18    0.21
1NG6A       148      XRAY        1.400    0.21    0.25
3OMDA       145      XRAY        1.500    0.15    0.19
5KLAA       337      XRAY        1.140    0.16    0.17
1FYEA       229      XRAY        1.200    0.16    0.19
3ESSA       230      XRAY        1.190    0.13    0.15
2JCBA       200      XRAY        1.600    0.19    0.24
4WEEA       144      XRAY        0.890    0.15    0.16
2PIEA       138      XRAY        1.350    0.18    0.20
1UCSA        64      XRAY        0.620    0.14    0.15
4YPCA        83      XRAY        1.440    0.25    0.28
3K5JA       183      XRAY        1.400    0.14    0.16
5IO9A       106      XRAY        1.300    0.19    0.21
4Q53A       110      XRAY        1.270    0.15    0.18
3IUWA        83      XRAY        1.580    0.19    0.22
4A3PA       217      XRAY        1.400    0.16    0.22
1EB6A       177      XRAY        1.000    0.10    0.13
5JDAA       359      XRAY        1.400    0.17    0.18
4ZVCA       126      XRAY        1.500    0.15    0.19
2JKHL        55      XRAY        1.250    0.20    0.22
2OXCA       230      XRAY        1.300    0.15    0.17
3LFKA       129      XRAY        1.600    0.21    0.23
3PSMA        47      XRAY        0.980    0.12    0.16
3EYIA        72      XRAY        1.450    0.16    0.19
2B9DA        52      XRAY        1.600    0.21    0.25
4LWUA        85      XRAY        1.140    0.22    0.23
4XB4A       152      XRAY        1.540    0.15    0.16
1CC8A        73      XRAY        1.020    0.14    0.17
1UTGA        70      XRAY        1.340    0.23    1.00
4PSFA       138      XRAY        1.580    0.18    0.19
4MYZA        79      XRAY        1.500    0.18    0.20
2OOAA        52      XRAY        1.560    0.21    0.24
2X3MA       239      XRAY        1.450    0.18    0.20
4J42A        93      XRAY        1.280    0.16    0.17
4IUMA       142      XRAY        1.450    0.16    0.18
2F22A       144      XRAY        1.420    0.16    0.18
3G36A        55      XRAY        1.200    0.20    0.23
3D9NA       145      XRAY        1.600    0.17    0.20
3PMEA       420      XRAY        1.560    0.18    0.21
3GP6A       163      XRAY        1.400    0.17    0.21
4BRCA       368      XRAY        1.300    0.14    0.19
1KQ6A       141      XRAY        1.180    0.13    0.18
2CZSA        80      XRAY        1.500    0.22    0.27
3ON9A       163      XRAY        1.570    0.17    0.20
4HY4A       115      XRAY        1.250    0.15    0.17
1W66A       232      XRAY        1.080    0.12    0.15
2XQQA        89      XRAY        1.310    0.12    0.16
2VH3A       113      XRAY        1.160    0.22    0.24
5K4BA       368      XRAY        1.400    0.17    0.19
1TBFA       347      XRAY        1.300    0.16    0.18
2R2ZA        93      XRAY        1.200    0.15    0.17
3VN3A       223      XRAY        0.950    0.11    0.13
1IUQA       367      XRAY        1.550    0.20    0.22
2BT9A        90      XRAY        0.940    0.10    0.12
1OQJA        97      XRAY        1.550    0.23    0.21
4P7OA       367      XRAY        1.480    0.22    0.25
5IUCA       127      XRAY        1.250    0.16    0.18
4UNUA       111      XRAY        0.950    0.11    0.13
5FHVA       269      XRAY        1.550    0.16    0.19
3FDEA       212      XRAY        1.410    0.15    0.19
3VYPA       269      XRAY        1.400    0.17    0.20
1Y6XA        93      XRAY        1.250    0.18    0.21
1J34C        46      XRAY        1.550    0.18    0.21
3T7LA        90      XRAY        1.090    0.17    0.15
2WWXB       217      XRAY        1.500    0.21    0.23
3B79A       129      XRAY        1.370    0.16    0.18
4AFMA       134      XRAY        1.250    0.16    0.17
4BQNA       312      XRAY        1.380    0.12    0.15
2FGQX       332      XRAY        1.450    0.15    0.17
4ALZA       198      XRAY        1.400    0.19    0.23
2G7OA        70      XRAY        1.400    0.20    0.22
5B7FA       492      XRAY        1.450    0.15    0.18
3OFGA        95      XRAY        1.370    0.15    0.17
1Z2UA       150      XRAY        1.100    0.13    0.15
1I1WA       303      XRAY        0.890    0.09    0.11
5DLEA       113      XRAY        1.550    0.16    0.19
2Y6XA       113      XRAY        1.600    0.19    0.24
3S5MA      1193      XRAY        1.550    0.19    0.21
4G3OA        58      XRAY        1.600    0.16    0.19
1UFYA       122      XRAY        0.960    0.11    0.13
2DT8A       280      XRAY        1.480    0.17    0.20
3H5JA       171      XRAY        1.200    0.13    0.17
3U7ZA       101      XRAY        1.300    0.14    0.19
4JNUA        40      XRAY        1.450    0.19    0.22
1JFBA       404      XRAY        1.000    0.10    0.14
4EQPA       143      XRAY        1.350    0.17    0.19
4QHWA       401      XRAY        1.350    0.11    0.13
2QSKA        95      XRAY        1.000    0.13    0.15
2OFCA       142      XRAY        1.110    0.12    0.13
3W61A       108      XRAY        1.590    0.18    0.21
2FCJA       119      XRAY        1.300    0.19    0.21
3CIMA        99      XRAY        1.300    0.17    0.22
2RILA        99      XRAY        1.260    0.14    0.16
4Y7LA       240      XRAY        1.510    0.19    0.20
4NF1A       150      XRAY        1.400    0.18    0.20
2GOMA        61      XRAY        1.250    0.21    0.22
5EWUA       388      XRAY        1.250    0.17    0.18
3WVAA       170      XRAY        1.400    0.15    0.19
3HLZA       269      XRAY        1.500    0.17    0.20
5FD9A       139      XRAY        1.600    0.21    0.23
1FX2A       235      XRAY        1.460    0.18    0.20
3BS4A       260      XRAY        1.600    0.18    0.21
3ILWA       470      XRAY        1.600    0.18    0.20
3CXNA       274      XRAY        1.550    0.19    0.21
3B4QA        94      XRAY        1.550    0.19    0.22
1PZ4A       116      XRAY        1.350    0.19    0.23
5HS4A       346      XRAY        1.340    0.15    0.17
5KEEA       143      XRAY        1.500    0.18    0.20
3COVA       301      XRAY        1.500    0.17    0.20
5JBXA       261      XRAY        1.100    0.13    0.14
2OV0A       105      XRAY        0.750    0.13    0.14
4YBGA       255      XRAY        1.600    0.20    0.21
5FQIA       269      XRAY        1.400    0.14    0.16
3QPAA       197      XRAY        0.850    0.12    0.12
1F1EA       154      XRAY        1.370    0.17    0.21
5BY8B        85      XRAY        1.520    0.15    0.19
2PU3A       211      XRAY        1.500    0.17    0.18
3RFEA       130      XRAY        1.250    0.20    0.22
2GKGA       127      XRAY        1.000    0.09    0.12
4H4NA        67      XRAY        1.100    0.15    0.18
3TDUC        77      XRAY        1.500    0.21    0.23
4YFUA       580      XRAY        1.500    0.20    0.23
4PQDA       105      XRAY        1.330    0.17    0.19
4B5OA       200      XRAY        1.050    0.13    0.16
4Q4W2       271      XRAY        1.400    0.15    1.00
1LAMA       484      XRAY        1.600    0.17    0.20
3UEJA        65      XRAY        1.300    0.14    0.16
1WMHB        86      XRAY        1.500    0.22    0.22
4TR6A       380      XRAY        1.500    0.18    0.20
3D3BA       141      XRAY        1.300    0.17    0.20
3OYVA       361      XRAY        1.250    0.13    0.16
4PJ2C       122      XRAY        1.240    0.15    0.17
5GGNA       164      XRAY        1.210    0.14    0.17
4HDDA        79      XRAY        1.350    0.16    0.18
1VK1A       242      XRAY        1.200    0.17    0.17
3ZUCA       153      XRAY        1.000    0.12    0.14
4Z5SA       231      XRAY        1.580    0.17    0.21
3BB0A       609      XRAY        1.500    0.17    0.19
1RTQA       299      XRAY        0.950    0.14    0.15
5EWOA       228      XRAY        0.950    0.13    0.14
2Q2FA        89      XRAY        1.500    0.18    0.21
4CS4A       274      XRAY        1.350    0.15    0.18
2FAOA       309      XRAY        1.500    0.21    0.21
1XQOA       256      XRAY        1.030    0.16    0.18
5LNDA       132      XRAY        1.460    0.18    0.19
5HJ1A       103      XRAY        1.500    0.19    0.22
1WERA       334      XRAY        1.600    0.22    0.27
2PBDV        43      XRAY        1.500    0.16    0.19
5B1AA       514      XRAY        1.500    0.15    0.17
5JOBA       143      XRAY        1.450    0.16    0.18
3WMVA       153      XRAY        1.050    0.14    0.15
5M1MA       155      XRAY        1.500    0.19    0.22
5C9OA       381      XRAY        1.500    0.13    0.15
3CT6A       131      XRAY        1.100    0.15    0.18
4YWKA       206      XRAY        1.550    0.22    0.25
4V3IA       257      XRAY        1.500    0.18    0.19
4N2PA       143      XRAY        1.440    0.14    0.18
1RG8A       146      XRAY        1.100    0.15    0.17
1K7JA       206      XRAY        1.400    0.20    0.20
3IFNP        40      XRAY        1.500    0.19    0.21
3OE3A        98      XRAY        1.510    0.21    0.24
4WNDB        53      XRAY        1.500    0.16    0.18
2COVD       104      XRAY        1.250    0.15    0.17
4KQIA       356      XRAY        1.400    0.17    0.20
4NKPA       148      XRAY        1.240    0.13    0.15
5CIYA       327      XRAY        1.590    0.17    0.19
4CNGA       255      XRAY        1.100    0.16    0.18
3ITQA       216      XRAY        1.400    0.20    0.21
1X91A       153      XRAY        1.500    0.18    0.21
4YQDA       266      XRAY        1.450    0.16    0.19
4RLZA       316      XRAY        1.190    0.14    0.16
2ABSA       383      XRAY        1.100    0.14    0.17
5FB7A       155      XRAY        1.500    0.19    0.22
4OA3A       146      XRAY        1.390    0.18    0.20
4WZXA        95      XRAY        1.390    0.15    0.18
1LKKA       105      XRAY        1.000    0.13    1.00
2WDSA       143      XRAY        1.350    0.18    0.20
3TUTA       358      XRAY        1.580    0.20    0.25
4ZAVA       209      XRAY        1.400    0.10    0.13
5FMUA       137      XRAY        1.590    0.18    0.21
3GAEA       253      XRAY        1.600    0.18    0.21
1SXRA       183      XRAY        1.560    0.18    0.21
3T7HA       291      XRAY        1.600    0.19    0.21
5F7GA       133      XRAY        1.480    0.21    0.25
2FHZA       109      XRAY        1.150    0.20    0.20
2IA7A       134      XRAY        1.440    0.17    0.20
4DMVA       556      XRAY        1.500    0.19    0.21
1Z0WA       207      XRAY        1.200    0.14    0.18
3IISM       151      XRAY        1.400    0.15    0.19
4JF8A       179      XRAY        1.350    0.15    0.17
1JL1A       155      XRAY        1.300    0.22    0.26
4UHTA       102      XRAY        1.150    0.13    0.16
5FAGA       410      XRAY        1.510    0.20    0.23
1Q7LB        88      XRAY        1.400    0.13    0.17
3OMYA        52      XRAY        1.300    0.15    0.17
2B97A        71      XRAY        0.750    0.13    0.15
2O7AA       124      XRAY        0.840    0.09    0.11
5B1AH        85      XRAY        1.500    0.15    0.17
1GWEA       503      XRAY        0.880    0.09    0.10
4OLTA       248      XRAY        1.590    0.16    0.23
1DJ0A       264      XRAY        1.500    0.16    0.22
1DS1A       324      XRAY        1.080    0.14    0.17
1SZ7A       200      XRAY        1.550    0.21    0.24
5KO9A       277      XRAY        1.500    0.18    0.21
3GNEA       252      XRAY        1.200    0.13    0.18
2XN6A       350      XRAY        1.290    0.21    0.23
4XLZA       267      XRAY        1.510    0.15    0.17
4Q7OA       146      XRAY        1.450    0.15    0.19
2CARA       196      XRAY        1.090    0.10    0.15
3VN0A        51      XRAY        1.370    0.18    0.22
4KEFA       143      XRAY        1.100    0.13    0.14
4QXLA       120      XRAY        1.510    0.20    0.23
3GBWA       164      XRAY        1.320    0.16    0.19
1KQFC       217      XRAY        1.600    0.18    0.20
3NR5A       164      XRAY        1.550    0.19    0.21
2Y39A       118      XRAY        1.410    0.18    0.20
4CE8A       114      XRAY        0.900    0.13    0.14
1N13B       113      XRAY        1.400    0.20    0.21
1F46A       140      XRAY        1.500    0.20    0.22
1TGRA        52      XRAY        1.420    0.21    0.22
2VPAA       216      XRAY        1.200    0.14    0.18
4B89A       249      XRAY        1.500    0.19    0.21
3G21A        77      XRAY        0.900    0.12    0.14
5KVGE       110      XRAY        1.400    0.15    0.18
4O0CA       309      XRAY        1.500    0.15    0.20
3UR8A       323      XRAY        1.260    0.14    0.18
3JUDA       153      XRAY        0.980    0.15    0.18
2EHPA       126      XRAY        1.300    0.23    0.24
3X0FA        93      XRAY        1.470    0.20    0.24
2WZBA       416      XRAY        1.470    0.16    0.19
3PN3A       193      XRAY        1.300    0.16    0.17
5AMHA       125      XRAY        1.200    0.13    0.16
2ZOUA       149      XRAY        1.450    0.20    0.22
2ZFDB       123      XRAY        1.200    0.18    0.19
4J9YB       102      XRAY        1.510    0.18    0.22
2W1JA       212      XRAY        1.240    0.17    0.18
4EGUA       119      XRAY        0.950    0.14    0.15
2QAPA       391      XRAY        1.590    0.17    0.20
1NTVA       152      XRAY        1.500    0.21    0.24
2V33A        91      XRAY        1.550    0.20    0.23
5EC6A       323      XRAY        1.600    0.17    0.20
4HLSA       132      XRAY        1.450    0.15    0.18
4DT5A       143      XRAY        1.150    0.14    0.16
5WSIA       361      XRAY        1.490    0.15    0.17
4YEPA       185      XRAY        1.190    0.13    0.16
4RZ9A       179      XRAY        1.280    0.13    0.15
1XG0A        76      XRAY        0.970    0.11    0.13
4Q2SA       143      XRAY        1.350    0.19    0.21
3ZZPA        77      XRAY        0.960    0.11    0.14
3D7JA       152      XRAY        1.450    0.21    0.22
3QM9A       146      XRAY        0.910    0.12    0.13
4Z0YA       350      XRAY        1.600    0.16    0.19
4NUTB        57      XRAY        1.550    0.20    0.23
2ZUXA       591      XRAY        1.320    0.17    0.18
5HZ6A       131      XRAY        1.140    0.14    0.17
2J5YA        61      XRAY        1.400    0.15    0.20
3LHCA       100      XRAY        1.340    0.20    0.22
4WUIA       207      XRAY        1.090    0.13    0.14
